split_a,branch,category,value
4,dZ_attn1,within_short,13.52205
4,dZ_attn1,within_long_near,4.79501
4,dZ_attn1,within_long_far,0.00987
4,dZ_attn1,cross,0.55704
4,dZ_mlp1,within_short,0.69828
4,dZ_mlp1,within_long_near,5.92897
4,dZ_mlp1,within_long_far,6.8401
4,dZ_mlp1,cross,2.24625
4,dZ_attn2,within_short,4.99205
4,dZ_attn2,within_long_near,16.72176
4,dZ_attn2,within_long_far,10.20343
4,dZ_attn2,cross,12.70146
4,dZ_mlp2,within_short,-0.19278
4,dZ_mlp2,within_long_near,5.63543
4,dZ_mlp2,within_long_far,19.54235
4,dZ_mlp2,cross,-35.43081
8,dZ_attn1,within_short,9.6627
8,dZ_attn1,within_long_near,4.84442
8,dZ_attn1,within_long_far,0.0609
8,dZ_attn1,cross,0.23565
8,dZ_mlp1,within_short,-6.13022
8,dZ_mlp1,within_long_near,5.6754
8,dZ_mlp1,within_long_far,6.48387
8,dZ_mlp1,cross,3.41424
8,dZ_attn2,within_short,20.91535
8,dZ_attn2,within_long_near,16.86264
8,dZ_attn2,within_long_far,10.29444
8,dZ_attn2,cross,14.15166
8,dZ_mlp2,within_short,1.12799
8,dZ_mlp2,within_long_near,4.91909
8,dZ_mlp2,within_long_far,18.26786
8,dZ_mlp2,cross,-41.61821
10,dZ_attn1,within_short,7.81137
10,dZ_attn1,within_long_near,4.86746
10,dZ_attn1,within_long_far,0.02769
10,dZ_attn1,cross,0.22472
10,dZ_mlp1,within_short,-4.75907
10,dZ_mlp1,within_long_near,5.52335
10,dZ_mlp1,within_long_far,6.34132
10,dZ_mlp1,cross,4.26887
10,dZ_attn2,within_short,22.84121
10,dZ_attn2,within_long_near,16.71039
10,dZ_attn2,within_long_far,9.57603
10,dZ_attn2,cross,10.24706
10,dZ_mlp2,within_short,2.07961
10,dZ_mlp2,within_long_near,3.13481
10,dZ_mlp2,within_long_far,15.12343
10,dZ_mlp2,cross,-32.2281
23,dZ_attn1,within_short,3.40142
23,dZ_attn1,within_long_near,5.20536
23,dZ_attn1,within_long_far,0.25233
23,dZ_attn1,cross,0.14798
23,dZ_mlp1,within_short,3.81986
23,dZ_mlp1,within_long_near,3.64291
23,dZ_mlp1,within_long_far,4.14587
23,dZ_mlp1,cross,5.93026
23,dZ_attn2,within_short,16.41044
23,dZ_attn2,within_long_near,18.47513
23,dZ_attn2,within_long_far,12.53333
23,dZ_attn2,cross,7.60999
23,dZ_mlp2,within_short,3.1507
23,dZ_mlp2,within_long_near,0.06779
23,dZ_mlp2,within_long_far,8.93987
23,dZ_mlp2,cross,14.35265
