split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.09524
4,H0,reach_long_near,0.24324
4,H0,reach_long_far,0.00189
4,H0,reach_short,1.0
4,H0,cut,0.97619
4,H0,pred_positive_rate,0.1087
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.20877
4,Hattn1,reach_long_near,0.52107
4,Hattn1,reach_long_far,0.01181
4,Hattn1,reach_short,1.0
4,Hattn1,cut,0.87788
4,Hattn1,pred_positive_rate,0.2167
4,H1,exact,0.0
4,H1,reach_long,0.77775
4,H1,reach_long_near,0.92385
4,H1,reach_long_far,0.68561
4,H1,reach_short,1.0
4,H1,cut,0.83129
4,H1,pred_positive_rate,0.68713
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
8,H0,exact,0.0
8,H0,reach_long,0.10526
8,H0,reach_long_near,0.24579
8,H0,reach_long_far,0.00246
8,H0,reach_short,0.5
8,H0,cut,0.98684
8,H0,pred_positive_rate,0.1087
8,Hattn1,exact,0.0
8,Hattn1,reach_long,0.23006
8,Hattn1,reach_long_near,0.52546
8,Hattn1,reach_long_far,0.01397
8,Hattn1,reach_short,0.99665
8,Hattn1,cut,0.92265
8,Hattn1,pred_positive_rate,0.22321
8,H1,exact,0.0
8,H1,reach_long,0.7622
8,H1,reach_long_near,0.91467
8,H1,reach_long_far,0.65067
8,H1,reach_short,1.0
8,H1,cut,0.66201
8,H1,pred_positive_rate,0.65178
8,Hattn2,exact,0.0
8,Hattn2,reach_long,1.0
8,Hattn2,reach_long_near,1.0
8,Hattn2,reach_long_far,1.0
8,Hattn2,reach_short,1.0
8,Hattn2,cut,0.0
8,Hattn2,pred_positive_rate,1.0
8,H2,exact,1.0
8,H2,reach_long,1.0
8,H2,reach_long_near,1.0
8,H2,reach_long_far,1.0
8,H2,reach_short,1.0
8,H2,cut,1.0
8,H2,pred_positive_rate,0.71267
10,H0,exact,0.0
10,H0,reach_long,0.11111
10,H0,reach_long_near,0.24731
10,H0,reach_long_far,0.00285
10,H0,reach_short,0.4
10,H0,cut,0.98889
10,H0,pred_positive_rate,0.1087
10,Hattn1,exact,0.0
10,Hattn1,reach_long,0.24221
10,Hattn1,reach_long_near,0.52582
10,Hattn1,reach_long_far,0.01678
10,Hattn1,reach_short,0.86979
10,Hattn1,cut,0.93477
10,Hattn1,pred_positive_rate,0.22516
10,H1,exact,0.0
10,H1,reach_long,0.75424
10,H1,reach_long_near,0.90995
10,H1,reach_long_far,0.63048
10,H1,reach_short,0.86875
10,H1,cut,0.56128
10,H1,pred_positive_rate,0.65709
10,Hattn2,exact,0.0
10,Hattn2,reach_long,1.0
10,Hattn2,reach_long_near,1.0
10,Hattn2,reach_long_far,1.0
10,Hattn2,reach_short,1.0
10,Hattn2,cut,0.0
10,Hattn2,pred_positive_rate,1.0
10,H2,exact,1.0
10,H2,reach_long,1.0
10,H2,reach_long_near,1.0
10,H2,reach_long_far,1.0
10,H2,reach_short,1.0
10,H2,cut,1.0
10,H2,pred_positive_rate,0.65974
23,H0,exact,0.0
23,H0,reach_long,0.17391
23,H0,reach_long_near,0.26543
23,H0,reach_long_far,0.01099
23,H0,reach_short,0.17391
23,H0,cut,0.99244
23,H0,pred_positive_rate,0.1087
23,Hattn1,exact,0.0
23,Hattn1,reach_long,0.3779
23,Hattn1,reach_long_near,0.55334
23,Hattn1,reach_long_far,0.06559
23,Hattn1,reach_short,0.375
23,Hattn1,cut,0.95664
23,Hattn1,pred_positive_rate,0.22346
23,H1,exact,0.0
23,H1,reach_long,0.69238
23,H1,reach_long_near,0.84655
23,H1,reach_long_far,0.41793
23,H1,reach_short,0.68991
23,H1,cut,0.38191
23,H1,pred_positive_rate,0.66133
23,Hattn2,exact,0.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,1.0
23,Hattn2,reach_short,1.0
23,Hattn2,cut,0.0
23,Hattn2,pred_positive_rate,1.0
23,H2,exact,0.0
23,H2,reach_long,1.0
23,H2,reach_long_near,1.0
23,H2,reach_long_far,1.0
23,H2,reach_short,1.0
23,H2,cut,0.0
23,H2,pred_positive_rate,1.0
