split_a,stage,quantity,value
4,H0,mu_short,0.48923
4,H0,mu_long_near,0.13047
4,H0,mu_long_far,0.00678
4,H0,mu_cross,-0.00541
4,H0,M_far,0.0122
4,Hattn1,mu_short,0.83297
4,Hattn1,mu_long_near,0.25673
4,Hattn1,mu_long_far,0.01389
4,Hattn1,mu_cross,0.01264
4,Hattn1,M_far,0.00126
4,H1,mu_short,0.83924
4,H1,mu_long_near,0.3861
4,H1,mu_long_far,0.16099
4,H1,mu_cross,0.0617
4,H1,M_far,0.09929
4,Hattn2,mu_short,0.97437
4,Hattn2,mu_long_near,0.82853
4,Hattn2,mu_long_far,0.45361
4,Hattn2,mu_cross,0.4034
4,Hattn2,M_far,0.05021
4,H2,mu_short,0.97207
4,H2,mu_long_near,0.96455
4,H2,mu_long_far,0.92716
4,H2,mu_cross,-0.53598
4,H2,M_far,1.46314
8,H0,mu_short,0.24423
8,H0,mu_long_near,0.13139
8,H0,mu_long_far,0.00627
8,H0,mu_cross,0.00197
8,H0,M_far,0.0043
8,Hattn1,mu_short,0.49281
8,Hattn1,mu_long_near,0.25911
8,Hattn1,mu_long_far,0.014
8,Hattn1,mu_cross,0.01409
8,Hattn1,M_far,-0.0001
8,H1,mu_short,0.34072
8,H1,mu_long_near,0.38294
8,H1,mu_long_far,0.15462
8,H1,mu_cross,0.08697
8,H1,M_far,0.06765
8,Hattn2,mu_short,0.86553
8,Hattn2,mu_long_near,0.82765
8,Hattn2,mu_long_far,0.44707
8,Hattn2,mu_cross,0.47392
8,Hattn2,M_far,-0.02685
8,H2,mu_short,0.88675
8,H2,mu_long_near,0.94906
8,H2,mu_long_far,0.8923
8,H2,mu_cross,-0.61242
8,H2,M_far,1.50472
10,H0,mu_short,0.19649
10,H0,mu_long_near,0.13223
10,H0,mu_long_far,0.0059
10,H0,mu_cross,0.0034
10,H0,M_far,0.0025
10,Hattn1,mu_short,0.39746
10,Hattn1,mu_long_near,0.25997
10,Hattn1,mu_long_far,0.01366
10,Hattn1,mu_cross,0.0152
10,Hattn1,M_far,-0.00154
10,H1,mu_short,0.28086
10,H1,mu_long_near,0.38041
10,H1,mu_long_far,0.14967
10,H1,mu_cross,0.10776
10,H1,M_far,0.04191
10,Hattn2,mu_short,0.85484
10,Hattn2,mu_long_near,0.82074
10,Hattn2,mu_long_far,0.42275
10,Hattn2,mu_cross,0.39692
10,Hattn2,M_far,0.02583
10,H2,mu_short,0.90317
10,H2,mu_long_near,0.89997
10,H2,mu_long_far,0.79203
10,H2,mu_cross,-0.45498
10,H2,M_far,1.24701
23,H0,mu_short,0.09071
23,H0,mu_long_near,0.14028
23,H0,mu_long_far,0.00227
23,H0,mu_cross,0.00584
23,H0,M_far,-0.00357
23,Hattn1,mu_short,0.18279
23,Hattn1,mu_long_near,0.27617
23,Hattn1,mu_long_far,0.01433
23,Hattn1,mu_cross,0.01586
23,Hattn1,M_far,-0.00153
23,H1,mu_short,0.26298
23,H1,mu_long_near,0.35336
23,H1,mu_long_far,0.10345
23,H1,mu_cross,0.14429
23,H1,M_far,-0.04084
23,Hattn2,mu_short,0.69517
23,Hattn2,mu_long_near,0.83507
23,Hattn2,mu_long_far,0.44863
23,Hattn2,mu_cross,0.36582
23,Hattn2,M_far,0.08281
23,H2,mu_short,0.77905
23,H2,mu_long_near,0.84217
23,H2,mu_long_far,0.66463
23,H2,mu_cross,0.71921
23,H2,M_far,-0.05458
