split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.09756
4,H0,reach_long_near,0.22222
4,H0,reach_long_far,0.0
4,H0,reach_short,1.0
4,H0,cut,1.0
4,H0,pred_positive_rate,0.10681
4,Hattn1,exact,0.0
4,Hattn1,reach_long,0.23073
4,Hattn1,reach_long_near,0.52555
4,Hattn1,reach_long_far,0.0
4,Hattn1,reach_short,1.0
4,Hattn1,cut,1.0
4,Hattn1,pred_positive_rate,0.21518
4,H1,exact,0.0
4,H1,reach_long,0.99546
4,H1,reach_long_near,0.99748
4,H1,reach_long_far,0.99389
4,H1,reach_short,1.0
4,H1,cut,0.00195
4,H1,pred_positive_rate,0.996
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
23,H0,exact,0.0
23,H0,reach_long,0.18182
23,H0,reach_long_near,0.22222
23,H0,reach_long_far,0.0
23,H0,reach_short,0.18182
23,H0,cut,1.0
23,H0,pred_positive_rate,0.1087
23,Hattn1,exact,0.0
23,Hattn1,reach_long,0.42799
23,Hattn1,reach_long_near,0.5231
23,Hattn1,reach_long_far,0.0
23,Hattn1,reach_short,0.43244
23,Hattn1,cut,1.0
23,Hattn1,pred_positive_rate,0.22749
23,H1,exact,0.0
23,H1,reach_long,0.99691
23,H1,reach_long_near,0.99789
23,H1,reach_long_far,0.99253
23,H1,reach_short,0.99802
23,H1,cut,0.00623
23,H1,pred_positive_rate,0.99567
23,Hattn2,exact,0.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,1.0
23,Hattn2,reach_short,1.0
23,Hattn2,cut,0.0
23,Hattn2,pred_positive_rate,1.0
23,H2,exact,0.98438
23,H2,reach_long,1.0
23,H2,reach_long_near,1.0
23,H2,reach_long_far,1.0
23,H2,reach_short,1.0
23,H2,cut,0.99997
23,H2,pred_positive_rate,0.50001
