split_a,branch,category,value
4,dZ_attn1,within_short,5.09776
4,dZ_attn1,within_long_near,10.39958
4,dZ_attn1,within_long_far,10.44038
4,dZ_attn1,cross,10.76902
4,dZ_mlp1,within_short,0.65231
4,dZ_mlp1,within_long_near,-6.00359
4,dZ_mlp1,within_long_far,-6.43391
4,dZ_mlp1,cross,-7.16542
4,dZ_attn2,within_short,1.6579
4,dZ_attn2,within_long_near,15.0255
4,dZ_attn2,within_long_far,17.59074
4,dZ_attn2,cross,18.20137
4,dZ_mlp2,within_short,-0.13623
4,dZ_mlp2,within_long_near,-3.07666
4,dZ_mlp2,within_long_far,-4.22921
4,dZ_mlp2,cross,-24.06215
23,dZ_attn1,within_short,10.40495
23,dZ_attn1,within_long_near,10.40599
23,dZ_attn1,within_long_far,10.44193
23,dZ_attn1,cross,10.44516
23,dZ_mlp1,within_short,-6.09009
23,dZ_mlp1,within_long_near,-6.01126
23,dZ_mlp1,within_long_far,-6.43861
23,dZ_mlp1,cross,-6.43663
23,dZ_attn2,within_short,7.553
23,dZ_attn2,within_long_near,7.83114
23,dZ_attn2,within_long_far,6.31721
23,dZ_attn2,cross,5.10779
23,dZ_mlp2,within_short,-3.7186
23,dZ_mlp2,within_long_near,-3.72413
23,dZ_mlp2,within_long_far,-3.7314
23,dZ_mlp2,cross,-4.6648
