split_a,stage,quantity,value
4,H0,mu_short,0.65729
4,H0,mu_long_near,0.08608
4,H0,mu_long_far,-0.02823
4,H0,mu_cross,-0.02842
4,H0,M_far,0.00019
4,Hattn1,mu_short,0.8969
4,Hattn1,mu_long_near,0.54386
4,Hattn1,mu_long_far,0.42299
4,Hattn1,mu_cross,0.438
4,Hattn1,M_far,-0.01501
4,H1,mu_short,0.9235
4,H1,mu_long_near,0.27986
4,H1,mu_long_far,0.14172
4,H1,mu_cross,0.15968
4,H1,M_far,-0.01796
4,Hattn2,mu_short,0.99885
4,Hattn2,mu_long_near,0.97973
4,Hattn2,mu_long_far,0.9653
4,Hattn2,mu_cross,0.97559
4,Hattn2,M_far,-0.01029
4,H2,mu_short,0.9918
4,H2,mu_long_near,0.84971
4,H2,mu_long_far,0.78706
4,H2,mu_cross,-0.14206
4,H2,M_far,0.92912
23,H0,mu_short,0.06528
23,H0,mu_long_near,0.0861
23,H0,mu_long_far,-0.02773
23,H0,mu_cross,-0.02833
23,H0,M_far,0.0006
23,Hattn1,mu_short,0.52209
23,Hattn1,mu_long_near,0.54394
23,Hattn1,mu_long_far,0.42321
23,Hattn1,mu_cross,0.42304
23,Hattn1,M_far,0.00018
23,H1,mu_short,0.25592
23,H1,mu_long_near,0.27904
23,H1,mu_long_far,0.14095
23,H1,mu_cross,0.14156
23,H1,M_far,-0.00061
23,Hattn2,mu_short,0.63706
23,Hattn2,mu_long_near,0.66903
23,Hattn2,mu_long_far,0.47682
23,Hattn2,mu_cross,0.42456
23,Hattn2,M_far,0.05225
23,H2,mu_short,0.42635
23,H2,mu_long_near,0.46731
23,H2,mu_long_far,0.24285
23,H2,mu_cross,0.15013
23,H2,M_far,0.09273
