split_a,stage,quantity,value
4,H0,mu_short,0.65415
4,H0,mu_long_near,0.08088
4,H0,mu_long_far,-0.03302
4,H0,mu_cross,-0.03219
4,H0,M_far,-0.00084
4,Hattn1,mu_short,0.90921
4,Hattn1,mu_long_near,0.36549
4,Hattn1,mu_long_far,0.21277
4,Hattn1,mu_cross,0.22888
4,Hattn1,M_far,-0.01611
4,H1,mu_short,0.9133
4,H1,mu_long_near,0.28135
4,H1,mu_long_far,0.13325
4,H1,mu_cross,0.12063
4,H1,M_far,0.01262
4,Hattn2,mu_short,0.94604
4,Hattn2,mu_long_near,0.94918
4,Hattn2,mu_long_far,0.93873
4,Hattn2,mu_cross,0.27566
4,Hattn2,M_far,0.66306
4,H2,mu_short,0.96046
4,H2,mu_long_near,0.96817
4,H2,mu_long_far,0.96309
4,H2,mu_cross,-0.62403
4,H2,M_far,1.58712
8,H0,mu_short,0.26035
8,H0,mu_long_near,0.08101
8,H0,mu_long_far,-0.03283
8,H0,mu_cross,-0.0329
8,H0,M_far,6e-05
8,Hattn1,mu_short,0.61789
8,Hattn1,mu_long_near,0.36753
8,Hattn1,mu_long_far,0.21268
8,Hattn1,mu_cross,0.21259
8,Hattn1,M_far,0.0001
8,H1,mu_short,0.52496
8,H1,mu_long_near,0.28284
8,H1,mu_long_far,0.13398
8,H1,mu_cross,0.13384
8,H1,M_far,0.00014
8,Hattn2,mu_short,0.74955
8,Hattn2,mu_long_near,0.58883
8,Hattn2,mu_long_far,0.49882
8,Hattn2,mu_cross,0.50558
8,Hattn2,M_far,-0.00677
8,H2,mu_short,0.50147
8,H2,mu_long_near,0.29744
8,H2,mu_long_far,0.12095
8,H2,mu_cross,0.00331
8,H2,M_far,0.11764
10,H0,mu_short,0.19518
10,H0,mu_long_near,0.08067
10,H0,mu_long_far,-0.03261
10,H0,mu_cross,-0.03285
10,H0,M_far,0.00024
10,Hattn1,mu_short,0.52346
10,Hattn1,mu_long_near,0.36543
10,Hattn1,mu_long_far,0.21321
10,Hattn1,mu_cross,0.2126
10,Hattn1,M_far,0.00061
10,H1,mu_short,0.43436
10,H1,mu_long_near,0.28026
10,H1,mu_long_far,0.13366
10,H1,mu_cross,0.13357
10,H1,M_far,0.0001
10,Hattn2,mu_short,0.69513
10,Hattn2,mu_long_near,0.58315
10,Hattn2,mu_long_far,0.49488
10,Hattn2,mu_cross,0.50062
10,Hattn2,M_far,-0.00574
10,H2,mu_short,0.42097
10,H2,mu_long_near,0.27857
10,H2,mu_long_far,0.09944
10,H2,mu_cross,0.05283
10,H2,M_far,0.04661
23,H0,mu_short,0.06109
23,H0,mu_long_near,0.08061
23,H0,mu_long_far,-0.03261
23,H0,mu_cross,-0.03306
23,H0,M_far,0.00044
23,Hattn1,mu_short,0.34687
23,Hattn1,mu_long_near,0.35935
23,Hattn1,mu_long_far,0.212
23,Hattn1,mu_cross,0.2126
23,Hattn1,M_far,-0.0006
23,H1,mu_short,0.26389
23,H1,mu_long_near,0.27624
23,H1,mu_long_far,0.13309
23,H1,mu_cross,0.13328
23,H1,M_far,-0.00019
23,Hattn2,mu_short,0.59923
23,Hattn2,mu_long_near,0.56938
23,Hattn2,mu_long_far,0.48333
23,Hattn2,mu_cross,0.49622
23,Hattn2,M_far,-0.01289
23,H2,mu_short,0.23836
23,H2,mu_long_near,0.28587
23,H2,mu_long_far,0.10824
23,H2,mu_cross,0.0929
23,H2,M_far,0.01534
