split_a,branch,category,value
4,dZ_attn1,within_short,5.2874
4,dZ_attn1,within_long_near,7.17127
4,dZ_attn1,within_long_far,6.00682
4,dZ_attn1,cross,6.42558
4,dZ_mlp1,within_short,-0.0321
4,dZ_mlp1,within_long_near,-4.61058
4,dZ_mlp1,within_long_far,-3.73559
4,dZ_mlp1,cross,-3.9061
4,dZ_attn2,within_short,1.27471
4,dZ_attn2,within_long_near,14.16848
4,dZ_attn2,within_long_far,16.43962
4,dZ_attn2,cross,12.15687
4,dZ_mlp2,within_short,-0.04715
4,dZ_mlp2,within_long_near,-1.61777
4,dZ_mlp2,within_long_far,-1.67205
4,dZ_mlp2,cross,-20.64961
8,dZ_attn1,within_short,9.01128
8,dZ_attn1,within_long_near,7.17213
8,dZ_attn1,within_long_far,6.01109
8,dZ_attn1,cross,6.01632
8,dZ_mlp1,within_short,-5.97588
8,dZ_mlp1,within_long_near,-4.61799
8,dZ_mlp1,within_long_far,-3.7414
8,dZ_mlp1,cross,-3.74757
8,dZ_attn2,within_short,6.11113
8,dZ_attn2,within_long_near,7.92981
8,dZ_attn2,within_long_far,8.43477
8,dZ_attn2,cross,7.97399
8,dZ_mlp2,within_short,1.91051
8,dZ_mlp2,within_long_near,1.78664
8,dZ_mlp2,within_long_far,0.88596
8,dZ_mlp2,cross,-23.99618
10,dZ_attn1,within_short,8.34692
10,dZ_attn1,within_long_near,7.17659
10,dZ_attn1,within_long_far,6.01334
10,dZ_attn1,cross,6.01518
10,dZ_mlp1,within_short,-5.50845
10,dZ_mlp1,within_long_near,-4.61663
10,dZ_mlp1,within_long_far,-3.74071
10,dZ_mlp1,cross,-3.74323
10,dZ_attn2,within_short,7.59345
10,dZ_attn2,within_long_near,7.92586
10,dZ_attn2,within_long_far,8.44717
10,dZ_attn2,cross,8.16457
10,dZ_mlp2,within_short,2.34321
10,dZ_mlp2,within_long_near,1.78172
10,dZ_mlp2,within_long_far,0.91874
10,dZ_mlp2,cross,-22.95143
23,dZ_attn1,within_short,6.96846
23,dZ_attn1,within_long_near,7.17803
23,dZ_attn1,within_long_far,6.00586
23,dZ_attn1,cross,6.00643
23,dZ_mlp1,within_short,-4.46863
23,dZ_mlp1,within_long_near,-4.61133
23,dZ_mlp1,within_long_far,-3.72506
23,dZ_mlp1,cross,-3.74014
23,dZ_attn2,within_short,8.17506
23,dZ_attn2,within_long_near,7.93833
23,dZ_attn2,within_long_far,9.21033
23,dZ_attn2,cross,8.20985
23,dZ_mlp2,within_short,1.7842
23,dZ_mlp2,within_long_near,1.77784
23,dZ_mlp2,within_long_far,1.81182
23,dZ_mlp2,cross,0.64135
