split_a,stage,metric,value
4,H0,exact,0.0
4,H0,reach_long,0.09829
4,H0,reach_long_near,0.22292
4,H0,reach_long_far,0.00074
4,H0,reach_short,1.0
4,H0,cut,0.99916
4,H0,pred_positive_rate,0.10753
4,Hattn1,exact,0.0
4,Hattn1,reach_long,1.0
4,Hattn1,reach_long_near,1.0
4,Hattn1,reach_long_far,1.0
4,Hattn1,reach_short,1.0
4,Hattn1,cut,0.0
4,Hattn1,pred_positive_rate,1.0
4,H1,exact,0.0
4,H1,reach_long,1.0
4,H1,reach_long_near,1.0
4,H1,reach_long_far,1.0
4,H1,reach_short,1.0
4,H1,cut,0.0
4,H1,pred_positive_rate,1.0
4,Hattn2,exact,0.0
4,Hattn2,reach_long,1.0
4,Hattn2,reach_long_near,1.0
4,Hattn2,reach_long_far,1.0
4,Hattn2,reach_short,1.0
4,Hattn2,cut,0.0
4,Hattn2,pred_positive_rate,1.0
4,H2,exact,1.0
4,H2,reach_long,1.0
4,H2,reach_long_near,1.0
4,H2,reach_long_far,1.0
4,H2,reach_short,1.0
4,H2,cut,1.0
4,H2,pred_positive_rate,0.84121
8,H0,exact,0.0
8,H0,reach_long,0.10911
8,H0,reach_long_near,0.22272
8,H0,reach_long_far,0.00147
8,H0,reach_short,0.57143
8,H0,cut,0.99913
8,H0,pred_positive_rate,0.10961
8,Hattn1,exact,0.0
8,Hattn1,reach_long,1.0
8,Hattn1,reach_long_near,1.0
8,Hattn1,reach_long_far,1.0
8,Hattn1,reach_short,1.0
8,Hattn1,cut,0.0
8,Hattn1,pred_positive_rate,1.0
8,H1,exact,0.0
8,H1,reach_long,1.0
8,H1,reach_long_near,1.0
8,H1,reach_long_far,1.0
8,H1,reach_short,1.0
8,H1,cut,0.0
8,H1,pred_positive_rate,1.0
8,Hattn2,exact,0.0
8,Hattn2,reach_long,1.0
8,Hattn2,reach_long_near,1.0
8,Hattn2,reach_long_far,1.0
8,Hattn2,reach_short,1.0
8,Hattn2,cut,0.0
8,Hattn2,pred_positive_rate,1.0
8,H2,exact,1.0
8,H2,reach_long,1.0
8,H2,reach_long_near,1.0
8,H2,reach_long_far,1.0
8,H2,reach_short,1.0
8,H2,cut,1.0
8,H2,pred_positive_rate,0.71267
10,H0,exact,0.0
10,H0,reach_long,0.11572
10,H0,reach_long_near,0.22309
10,H0,reach_long_far,0.00204
10,H0,reach_short,0.44479
10,H0,cut,0.999
10,H0,pred_positive_rate,0.10991
10,Hattn1,exact,0.0
10,Hattn1,reach_long,1.0
10,Hattn1,reach_long_near,1.0
10,Hattn1,reach_long_far,1.0
10,Hattn1,reach_short,1.0
10,Hattn1,cut,0.0
10,Hattn1,pred_positive_rate,1.0
10,H1,exact,0.0
10,H1,reach_long,1.0
10,H1,reach_long_near,1.0
10,H1,reach_long_far,1.0
10,H1,reach_short,1.0
10,H1,cut,0.0
10,H1,pred_positive_rate,1.0
10,Hattn2,exact,0.0
10,Hattn2,reach_long,1.0
10,Hattn2,reach_long_near,1.0
10,Hattn2,reach_long_far,1.0
10,Hattn2,reach_short,1.0
10,Hattn2,cut,0.0
10,Hattn2,pred_positive_rate,1.0
10,H2,exact,1.0
10,H2,reach_long,1.0
10,H2,reach_long_near,1.0
10,H2,reach_long_far,1.0
10,H2,reach_short,1.0
10,H2,cut,1.0
10,H2,pred_positive_rate,0.65974
23,H0,exact,0.0
23,H0,reach_long,0.18318
23,H0,reach_long_near,0.22373
23,H0,reach_long_far,0.00068
23,H0,reach_short,0.18231
23,H0,cut,0.99894
23,H0,pred_positive_rate,0.10967
23,Hattn1,exact,0.0
23,Hattn1,reach_long,1.0
23,Hattn1,reach_long_near,1.0
23,Hattn1,reach_long_far,1.0
23,Hattn1,reach_short,1.0
23,Hattn1,cut,0.0
23,Hattn1,pred_positive_rate,1.0
23,H1,exact,0.0
23,H1,reach_long,1.0
23,H1,reach_long_near,1.0
23,H1,reach_long_far,1.0
23,H1,reach_short,1.0
23,H1,cut,0.0
23,H1,pred_positive_rate,1.0
23,Hattn2,exact,0.0
23,Hattn2,reach_long,1.0
23,Hattn2,reach_long_near,1.0
23,Hattn2,reach_long_far,1.0
23,Hattn2,reach_short,1.0
23,Hattn2,cut,0.0
23,Hattn2,pred_positive_rate,1.0
23,H2,exact,0.0
23,H2,reach_long,1.0
23,H2,reach_long_near,1.0
23,H2,reach_long_far,1.0
23,H2,reach_short,1.0
23,H2,cut,0.0
23,H2,pred_positive_rate,1.0
