split_a,branch,category,value
4,dZ_attn1,within_short,6.84991
4,dZ_attn1,within_long_near,1.39653
4,dZ_attn1,within_long_far,0.21089
4,dZ_attn1,cross,0.2663
4,dZ_mlp1,within_short,-2.14938
4,dZ_mlp1,within_long_near,0.83006
4,dZ_mlp1,within_long_far,1.46396
4,dZ_mlp1,cross,1.51372
4,dZ_attn2,within_short,0.1312
4,dZ_attn2,within_long_near,6.59764
4,dZ_attn2,within_long_far,3.81198
4,dZ_attn2,cross,4.10814
4,dZ_mlp2,within_short,2.81563
4,dZ_mlp2,within_long_near,1.58865
4,dZ_mlp2,within_long_far,2.62689
4,dZ_mlp2,cross,-14.77191
12,dZ_attn1,within_short,2.00494
12,dZ_attn1,within_long_near,1.41882
12,dZ_attn1,within_long_far,0.22035
12,dZ_attn1,cross,0.2288
12,dZ_mlp1,within_short,0.35007
12,dZ_mlp1,within_long_near,0.80387
12,dZ_mlp1,within_long_far,1.45117
12,dZ_mlp1,cross,1.48925
12,dZ_attn2,within_short,5.40953
12,dZ_attn2,within_long_near,6.54848
12,dZ_attn2,within_long_far,3.768
12,dZ_attn2,cross,3.16199
12,dZ_mlp2,within_short,0.1628
12,dZ_mlp2,within_long_near,-1.50449
12,dZ_mlp2,within_long_far,-2.82176
12,dZ_mlp2,cross,-4.52268
18,dZ_attn1,within_short,1.36675
18,dZ_attn1,within_long_near,1.42772
18,dZ_attn1,within_long_far,0.21577
18,dZ_attn1,cross,0.2321
18,dZ_mlp1,within_short,0.71925
18,dZ_mlp1,within_long_near,0.78028
18,dZ_mlp1,within_long_far,1.45231
18,dZ_mlp1,cross,1.49814
18,dZ_attn2,within_short,5.80761
18,dZ_attn2,within_long_near,6.54668
18,dZ_attn2,within_long_far,3.8173
18,dZ_attn2,cross,3.32925
18,dZ_mlp2,within_short,-0.73549
18,dZ_mlp2,within_long_near,-1.46673
18,dZ_mlp2,within_long_far,-2.81062
18,dZ_mlp2,cross,-3.62072
32,dZ_attn1,within_short,0.85992
32,dZ_attn1,within_long_near,1.46797
32,dZ_attn1,within_long_far,0.21899
32,dZ_attn1,cross,0.22378
32,dZ_mlp1,within_short,1.04567
32,dZ_mlp1,within_long_near,0.67057
32,dZ_mlp1,within_long_far,1.45935
32,dZ_mlp1,cross,1.51548
32,dZ_attn2,within_short,5.1196
32,dZ_attn2,within_long_near,6.48543
32,dZ_attn2,within_long_far,3.83405
32,dZ_attn2,cross,3.36163
32,dZ_mlp2,within_short,-1.91145
32,dZ_mlp2,within_long_near,-1.36115
32,dZ_mlp2,within_long_far,-2.51014
32,dZ_mlp2,cross,-3.47642
