cell,k,small_size,stage,quantity,value
k5_s2,5,2,H0,mu_short,0.20865
k5_s2,5,2,H0,mu_long_near,0.11217
k5_s2,5,2,H0,mu_long_far,-0.01906
k5_s2,5,2,H0,mu_cross,-0.03385
k5_s2,5,2,H0,M_far,0.01479
k5_s2,5,2,Hattn1,mu_short,0.63769
k5_s2,5,2,Hattn1,mu_long_near,0.22082
k5_s2,5,2,Hattn1,mu_long_far,-0.00713
k5_s2,5,2,Hattn1,mu_cross,-0.00621
k5_s2,5,2,Hattn1,M_far,-0.00092
k5_s2,5,2,H1,mu_short,0.83193
k5_s2,5,2,H1,mu_long_near,0.25437
k5_s2,5,2,H1,mu_long_far,0.02547
k5_s2,5,2,H1,mu_cross,-0.01611
k5_s2,5,2,H1,M_far,0.04158
k5_s2,5,2,Hattn2,mu_short,0.90676
k5_s2,5,2,Hattn2,mu_long_near,0.7184
k5_s2,5,2,Hattn2,mu_long_far,0.28636
k5_s2,5,2,Hattn2,mu_cross,0.24273
k5_s2,5,2,Hattn2,M_far,0.04362
k5_s2,5,2,H2,mu_short,0.21766
k5_s2,5,2,H2,mu_long_near,0.77879
k5_s2,5,2,H2,mu_long_far,0.63395
k5_s2,5,2,H2,mu_cross,-0.25251
k5_s2,5,2,H2,M_far,0.88645
k5_s3,5,3,H0,mu_short,0.13485
k5_s3,5,3,H0,mu_long_near,0.11516
k5_s3,5,3,H0,mu_long_far,-0.01984
k5_s3,5,3,H0,mu_cross,-0.02772
k5_s3,5,3,H0,M_far,0.00788
k5_s3,5,3,Hattn1,mu_short,0.45698
k5_s3,5,3,Hattn1,mu_long_near,0.22404
k5_s3,5,3,Hattn1,mu_long_far,-0.00919
k5_s3,5,3,Hattn1,mu_cross,-0.00547
k5_s3,5,3,Hattn1,M_far,-0.00372
k5_s3,5,3,H1,mu_short,0.6096
k5_s3,5,3,H1,mu_long_near,0.25461
k5_s3,5,3,H1,mu_long_far,0.02502
k5_s3,5,3,H1,mu_cross,0.00526
k5_s3,5,3,H1,M_far,0.01976
k5_s3,5,3,Hattn2,mu_short,0.82287
k5_s3,5,3,Hattn2,mu_long_near,0.77352
k5_s3,5,3,Hattn2,mu_long_far,0.46569
k5_s3,5,3,Hattn2,mu_cross,0.46843
k5_s3,5,3,Hattn2,M_far,-0.00274
k5_s3,5,3,H2,mu_short,0.1702
k5_s3,5,3,H2,mu_long_near,0.82591
k5_s3,5,3,H2,mu_long_far,0.731
k5_s3,5,3,H2,mu_cross,-0.27225
k5_s3,5,3,H2,M_far,1.00324
k5_s4,5,4,H0,mu_short,0.09434
k5_s4,5,4,H0,mu_long_near,0.11842
k5_s4,5,4,H0,mu_long_far,-0.02063
k5_s4,5,4,H0,mu_cross,-0.02434
k5_s4,5,4,H0,M_far,0.00371
k5_s4,5,4,Hattn1,mu_short,0.32818
k5_s4,5,4,Hattn1,mu_long_near,0.22575
k5_s4,5,4,Hattn1,mu_long_far,-0.0101
k5_s4,5,4,Hattn1,mu_cross,-0.00246
k5_s4,5,4,Hattn1,M_far,-0.00765
k5_s4,5,4,H1,mu_short,0.40599
k5_s4,5,4,H1,mu_long_near,0.25454
k5_s4,5,4,H1,mu_long_far,0.02689
k5_s4,5,4,H1,mu_cross,0.0291
k5_s4,5,4,H1,M_far,-0.00221
k5_s4,5,4,Hattn2,mu_short,0.72672
k5_s4,5,4,Hattn2,mu_long_near,0.81544
k5_s4,5,4,Hattn2,mu_long_far,0.61111
k5_s4,5,4,Hattn2,mu_cross,0.51266
k5_s4,5,4,Hattn2,M_far,0.09845
k5_s4,5,4,H2,mu_short,0.15863
k5_s4,5,4,H2,mu_long_near,0.77175
k5_s4,5,4,H2,mu_long_far,0.67203
k5_s4,5,4,H2,mu_cross,-0.20586
k5_s4,5,4,H2,M_far,0.87789
k5_s5,5,5,H0,mu_short,0.07034
k5_s5,5,5,H0,mu_long_near,0.12411
k5_s5,5,5,H0,mu_long_far,-0.02171
k5_s5,5,5,H0,mu_cross,-0.02233
k5_s5,5,5,H0,M_far,0.00062
k5_s5,5,5,Hattn1,mu_short,0.2418
k5_s5,5,5,Hattn1,mu_long_near,0.23382
k5_s5,5,5,Hattn1,mu_long_far,-0.00773
k5_s5,5,5,Hattn1,mu_cross,0.00247
k5_s5,5,5,Hattn1,M_far,-0.0102
k5_s5,5,5,H1,mu_short,0.38783
k5_s5,5,5,H1,mu_long_near,0.25608
k5_s5,5,5,H1,mu_long_far,0.03756
k5_s5,5,5,H1,mu_cross,0.0666
k5_s5,5,5,H1,M_far,-0.02903
k5_s5,5,5,Hattn2,mu_short,0.84175
k5_s5,5,5,Hattn2,mu_long_near,0.83812
k5_s5,5,5,Hattn2,mu_long_far,0.71012
k5_s5,5,5,Hattn2,mu_cross,0.64274
k5_s5,5,5,Hattn2,M_far,0.06738
k5_s5,5,5,H2,mu_short,0.22511
k5_s5,5,5,H2,mu_long_near,0.75399
k5_s5,5,5,H2,mu_long_far,0.6371
k5_s5,5,5,H2,mu_cross,-0.07421
k5_s5,5,5,H2,M_far,0.71131
k6_s2,6,2,H0,mu_short,0.18044
k6_s2,6,2,H0,mu_long_near,0.11316
k6_s2,6,2,H0,mu_long_far,-0.01967
k6_s2,6,2,H0,mu_cross,-0.03311
k6_s2,6,2,H0,M_far,0.01344
k6_s2,6,2,Hattn1,mu_short,0.62467
k6_s2,6,2,Hattn1,mu_long_near,0.22114
k6_s2,6,2,Hattn1,mu_long_far,-0.00827
k6_s2,6,2,Hattn1,mu_cross,-0.00279
k6_s2,6,2,Hattn1,M_far,-0.00548
k6_s2,6,2,H1,mu_short,0.82547
k6_s2,6,2,H1,mu_long_near,0.25485
k6_s2,6,2,H1,mu_long_far,0.02535
k6_s2,6,2,H1,mu_cross,-0.01189
k6_s2,6,2,H1,M_far,0.03724
k6_s2,6,2,Hattn2,mu_short,0.92414
k6_s2,6,2,Hattn2,mu_long_near,0.73932
k6_s2,6,2,Hattn2,mu_long_far,0.35839
k6_s2,6,2,Hattn2,mu_cross,0.33137
k6_s2,6,2,Hattn2,M_far,0.02702
k6_s2,6,2,H2,mu_short,0.49187
k6_s2,6,2,H2,mu_long_near,0.77249
k6_s2,6,2,H2,mu_long_far,0.62799
k6_s2,6,2,H2,mu_cross,-0.18168
k6_s2,6,2,H2,M_far,0.80967
k6_s3,6,3,H0,mu_short,0.10929
k6_s3,6,3,H0,mu_long_near,0.11728
k6_s3,6,3,H0,mu_long_far,-0.02044
k6_s3,6,3,H0,mu_cross,-0.02681
k6_s3,6,3,H0,M_far,0.00637
k6_s3,6,3,Hattn1,mu_short,0.43732
k6_s3,6,3,Hattn1,mu_long_near,0.2255
k6_s3,6,3,Hattn1,mu_long_far,-0.01079
k6_s3,6,3,Hattn1,mu_cross,0.00017
k6_s3,6,3,Hattn1,M_far,-0.01096
k6_s3,6,3,H1,mu_short,0.59864
k6_s3,6,3,H1,mu_long_near,0.25493
k6_s3,6,3,H1,mu_long_far,0.0264
k6_s3,6,3,H1,mu_cross,0.01271
k6_s3,6,3,H1,M_far,0.01369
k6_s3,6,3,Hattn2,mu_short,0.8654
