cell,k,small_size,branch,category,value
k5_s2,5,2,dZ_attn1,within_short,4.86986
k5_s2,5,2,dZ_attn1,within_long_near,5.77285
k5_s2,5,2,dZ_attn1,within_long_far,1.93681
k5_s2,5,2,dZ_attn1,cross,0.89038
k5_s2,5,2,dZ_mlp1,within_short,13.40134
k5_s2,5,2,dZ_mlp1,within_long_near,0.86341
k5_s2,5,2,dZ_mlp1,within_long_far,2.18886
k5_s2,5,2,dZ_mlp1,cross,0.51736
k5_s2,5,2,dZ_attn2,within_short,1.39881
k5_s2,5,2,dZ_attn2,within_long_near,16.42215
k5_s2,5,2,dZ_attn2,within_long_far,14.21941
k5_s2,5,2,dZ_attn2,cross,15.6423
k5_s2,5,2,dZ_mlp2,within_short,-27.41078
k5_s2,5,2,dZ_mlp2,within_long_near,-0.42878
k5_s2,5,2,dZ_mlp2,within_long_far,4.05886
k5_s2,5,2,dZ_mlp2,cross,-18.61397
k5_s3,5,3,dZ_attn1,within_short,3.37264
k5_s3,5,3,dZ_attn1,within_long_near,5.8073
k5_s3,5,3,dZ_attn1,within_long_far,1.88616
k5_s3,5,3,dZ_attn1,cross,1.06433
k5_s3,5,3,dZ_mlp1,within_short,10.93985
k5_s3,5,3,dZ_mlp1,within_long_near,0.69553
k5_s3,5,3,dZ_mlp1,within_long_far,2.02803
k5_s3,5,3,dZ_mlp1,cross,-0.22738
k5_s3,5,3,dZ_attn2,within_short,7.00292
k5_s3,5,3,dZ_attn2,within_long_near,16.30266
k5_s3,5,3,dZ_attn2,within_long_far,14.78827
k5_s3,5,3,dZ_attn2,cross,14.66412
k5_s3,5,3,dZ_mlp2,within_short,-22.7016
k5_s3,5,3,dZ_mlp2,within_long_near,-0.70973
k5_s3,5,3,dZ_mlp2,within_long_far,3.72402
k5_s3,5,3,dZ_mlp2,cross,-19.25594
k5_s4,5,4,dZ_attn1,within_short,3.36189
k5_s4,5,4,dZ_attn1,within_long_near,5.84797
k5_s4,5,4,dZ_attn1,within_long_far,1.78297
k5_s4,5,4,dZ_attn1,cross,1.31893
k5_s4,5,4,dZ_mlp1,within_short,2.44713
k5_s4,5,4,dZ_mlp1,within_long_near,0.4737
k5_s4,5,4,dZ_mlp1,within_long_far,1.86923
k5_s4,5,4,dZ_mlp1,cross,0.4522
k5_s4,5,4,dZ_attn2,within_short,10.95712
k5_s4,5,4,dZ_attn2,within_long_near,18.61398
k5_s4,5,4,dZ_attn2,within_long_far,21.21171
k5_s4,5,4,dZ_attn2,cross,16.87756
k5_s4,5,4,dZ_mlp2,within_short,-17.39772
k5_s4,5,4,dZ_mlp2,within_long_near,-1.4914
k5_s4,5,4,dZ_mlp2,within_long_far,0.13615
k5_s4,5,4,dZ_mlp2,cross,-19.83773
k5_s5,5,5,dZ_attn1,within_short,3.37495
k5_s5,5,5,dZ_attn1,within_long_near,5.91948
k5_s5,5,5,dZ_attn1,within_long_far,1.66349
k5_s5,5,5,dZ_attn1,cross,1.43726
k5_s5,5,5,dZ_mlp1,within_short,1.16954
k5_s5,5,5,dZ_mlp1,within_long_near,0.10322
k5_s5,5,5,dZ_mlp1,within_long_far,1.64231
k5_s5,5,5,dZ_mlp1,cross,1.40307
k5_s5,5,5,dZ_attn2,within_short,20.08355
k5_s5,5,5,dZ_attn2,within_long_near,18.23927
k5_s5,5,5,dZ_attn2,within_long_far,21.56911
k5_s5,5,5,dZ_attn2,cross,20.09846
k5_s5,5,5,dZ_mlp2,within_short,-16.52802
k5_s5,5,5,dZ_mlp2,within_long_near,-1.43108
k5_s5,5,5,dZ_mlp2,within_long_far,0.06902
k5_s5,5,5,dZ_mlp2,cross,-14.72503
k6_s2,6,2,dZ_attn1,within_short,5.09088
k6_s2,6,2,dZ_attn1,within_long_near,5.7637
k6_s2,6,2,dZ_attn1,within_long_far,1.88397
k6_s2,6,2,dZ_attn1,cross,0.93093
k6_s2,6,2,dZ_mlp1,within_short,13.84471
k6_s2,6,2,dZ_mlp1,within_long_near,0.80698
k6_s2,6,2,dZ_mlp1,within_long_far,2.14561
k6_s2,6,2,dZ_mlp1,cross,0.46074
k6_s2,6,2,dZ_attn2,within_short,1.84831
k6_s2,6,2,dZ_attn2,within_long_near,17.71851
k6_s2,6,2,dZ_attn2,within_long_far,17.78089
k6_s2,6,2,dZ_attn2,cross,19.23622
k6_s2,6,2,dZ_mlp2,within_short,-26.95848
k6_s2,6,2,dZ_mlp2,within_long_near,-0.17376
k6_s2,6,2,dZ_mlp2,within_long_far,3.33097
k6_s2,6,2,dZ_mlp2,cross,-17.6484
k6_s3,6,3,dZ_attn1,within_short,3.26971
k6_s3,6,3,dZ_attn1,within_long_near,5.83247
k6_s3,6,3,dZ_attn1,within_long_far,1.81831
k6_s3,6,3,dZ_attn1,cross,1.09197
k6_s3,6,3,dZ_mlp1,within_short,11.70001
k6_s3,6,3,dZ_mlp1,within_long_near,0.54714
k6_s3,6,3,dZ_mlp1,within_long_far,1.91771
k6_s3,6,3,dZ_mlp1,cross,-0.21774
k6_s3,6,3,dZ_attn2,within_short,7.96197
k6_s3,6,3,dZ_attn2,within_long_near,17.68868
k6_s3,6,3,dZ_attn2,within_long_far,18.78601
k6_s3,6,3,dZ_attn2,cross,17.78631
k6_s3,6,3,dZ_mlp2,within_short,-22.00951
k6_s3,6,3,dZ_mlp2,within_long_near,-0.81378
k6_s3,6,3,dZ_mlp2,within_long_far,2.43781
k6_s3,6,3,dZ_mlp2,cross,-16.09709
k6_s4,6,4,dZ_attn1,within_short,3.04962
k6_s4,6,4,dZ_attn1,within_long_near,5.91729
k6_s4,6,4,dZ_attn1,within_long_far,1.64522
k6_s4,6,4,dZ_attn1,cross,1.32649
k6_s4,6,4,dZ_mlp1,within_short,3.16982
k6_s4,6,4,dZ_mlp1,within_long_near,0.15095
k6_s4,6,4,dZ_mlp1,within_long_far,1.67291
k6_s4,6,4,dZ_mlp1,cross,0.47998
k6_s4,6,4,dZ_attn2,within_short,11.91042
k6_s4,6,4,dZ_attn2,within_long_near,19.93932
k6_s4,6,4,dZ_attn2,within_long_far,24.80295
k6_s4,6,4,dZ_attn2,cross,18.39699
k6_s4,6,4,dZ_mlp2,within_short,-16.88441
k6_s4,6,4,dZ_mlp2,within_long_near,-1.06014
k6_s4,6,4,dZ_mlp2,within_long_far,0.20449
k6_s4,6,4,dZ_mlp2,cross,-15.39164
k7_s2,7,2,dZ_attn1,within_short,5.26692
k7_s2,7,2,dZ_attn1,within_long_near,5.77479
k7_s2,7,2,dZ_attn1,within_long_far,1.84386
k7_s2,7,2,dZ_attn1,cross,0.94579
k7_s2,7,2,dZ_mlp1,within_short,14.14396
k7_s2,7,2,dZ_mlp1,within_long_near,0.7312
k7_s2,7,2,dZ_mlp1,within_long_far,2.08389
k7_s2,7,2,dZ_mlp1,cross,0.43572
k7_s2,7,2,dZ_attn2,within_short,2.23583
k7_s2,7,2,dZ_attn2,within_long_near,18.7619
k7_s2,7,2,dZ_attn2,within_long_far,20.67288
