cell,k,small_size,stage,metric,value
k5_s2,5,2,H0,exact,0.0
k5_s2,5,2,H0,reach_long,0.125
k5_s2,5,2,H0,reach_long_near,0.25103
k5_s2,5,2,H0,reach_long_far,0.00395
k5_s2,5,2,H0,reach_short,0.14286
k5_s2,5,2,H0,cut,0.9375
k5_s2,5,2,H0,pred_positive_rate,0.1575
k5_s2,5,2,Hattn1,exact,0.0
k5_s2,5,2,Hattn1,reach_long,0.23712
k5_s2,5,2,Hattn1,reach_long_near,0.48238
k5_s2,5,2,Hattn1,reach_long_far,0.00154
k5_s2,5,2,Hattn1,reach_short,0.14286
k5_s2,5,2,Hattn1,cut,0.9375
k5_s2,5,2,Hattn1,pred_positive_rate,0.22701
k5_s2,5,2,H1,exact,0.0
k5_s2,5,2,H1,reach_long,0.34914
k5_s2,5,2,H1,reach_long_near,0.67207
k5_s2,5,2,H1,reach_long_far,0.03897
k5_s2,5,2,H1,reach_short,0.14286
k5_s2,5,2,H1,cut,0.9375
k5_s2,5,2,H1,pred_positive_rate,0.29646
k5_s2,5,2,Hattn2,exact,0.0
k5_s2,5,2,Hattn2,reach_long,1.0
k5_s2,5,2,Hattn2,reach_long_near,1.0
k5_s2,5,2,Hattn2,reach_long_far,1.0
k5_s2,5,2,Hattn2,reach_short,0.14286
k5_s2,5,2,Hattn2,cut,0.0
k5_s2,5,2,Hattn2,pred_positive_rate,1.0
k5_s2,5,2,H2,exact,1.0
k5_s2,5,2,H2,reach_long,1.0
k5_s2,5,2,H2,reach_long_near,1.0
k5_s2,5,2,H2,reach_long_far,1.0
k5_s2,5,2,H2,reach_short,1.0
k5_s2,5,2,H2,cut,1.0
k5_s2,5,2,H2,pred_positive_rate,0.65
k5_s3,5,3,H0,exact,0.0
k5_s3,5,3,H0,reach_long,0.14286
k5_s3,5,3,H0,reach_long_near,0.25604
k5_s3,5,3,H0,reach_long_far,0.00585
k5_s3,5,3,H0,reach_short,0.63636
k5_s3,5,3,H0,cut,0.95238
k5_s3,5,3,H0,pred_positive_rate,0.1575
k5_s3,5,3,Hattn1,exact,0.0
k5_s3,5,3,Hattn1,reach_long,0.2686
k5_s3,5,3,Hattn1,reach_long_near,0.48875
k5_s3,5,3,Hattn1,reach_long_far,0.0021
k5_s3,5,3,Hattn1,reach_short,0.60156
k5_s3,5,3,Hattn1,cut,0.95657
k5_s3,5,3,Hattn1,pred_positive_rate,0.21803
k5_s3,5,3,H1,exact,0.0
k5_s3,5,3,H1,reach_long,0.38724
k5_s3,5,3,H1,reach_long_near,0.67361
k5_s3,5,3,H1,reach_long_far,0.04057
k5_s3,5,3,H1,reach_short,0.18182
k5_s3,5,3,H1,cut,0.95238
k5_s3,5,3,H1,pred_positive_rate,0.31047
k5_s3,5,3,Hattn2,exact,0.0
k5_s3,5,3,Hattn2,reach_long,1.0
k5_s3,5,3,Hattn2,reach_long_near,1.0
k5_s3,5,3,Hattn2,reach_long_far,1.0
k5_s3,5,3,Hattn2,reach_short,0.18182
k5_s3,5,3,Hattn2,cut,0.0
k5_s3,5,3,Hattn2,pred_positive_rate,1.0
k5_s3,5,3,H2,exact,1.0
k5_s3,5,3,H2,reach_long,1.0
k5_s3,5,3,H2,reach_long_near,1.0
k5_s3,5,3,H2,reach_long_far,1.0
k5_s3,5,3,H2,reach_short,1.0
k5_s3,5,3,H2,cut,1.0
k5_s3,5,3,H2,pred_positive_rate,0.5125
k5_s4,5,4,H0,exact,0.0
k5_s4,5,4,H0,reach_long,0.16667
k5_s4,5,4,H0,reach_long_near,0.26316
