cell,s1,s2,s3,stage,mu_1,mu_2,mu_3,mu_12,mu_13,mu_23
s1_22_23,1,22,23,H0,nan,0.08809,0.08431,-0.00857,-0.00909,-0.00279
s1_22_23,1,22,23,Hattn1,nan,0.17342,0.16612,0.02667,0.02533,0.00709
s1_22_23,1,22,23,H1,nan,0.22709,0.22189,0.05592,0.05547,0.08506
s1_22_23,1,22,23,Hattn2,nan,0.77775,0.76512,0.51123,0.50866,0.48132
s1_22_23,1,22,23,H2,nan,0.98437,0.9832,-0.64623,-0.6458,0.97074
s4_15_27,4,15,27,H0,0.51284,0.13065,0.07147,-0.00282,-0.00428,-0.00289
s4_15_27,4,15,27,Hattn1,0.79071,0.24803,0.14347,0.01711,0.00622,0.00692
s4_15_27,4,15,27,H1,0.7673,0.28286,0.2032,0.09581,0.07929,0.08601
s4_15_27,4,15,27,Hattn2,0.95057,0.83003,0.70966,0.41631,0.3878,0.48043
s4_15_27,4,15,27,H2,0.95521,0.99161,0.95819,-0.41726,-0.36117,0.94934
s7_15_24,7,15,24,H0,0.2856,0.13072,0.08069,-0.00297,-0.00328,-0.0029
s7_15_24,7,15,24,Hattn1,0.51128,0.24805,0.15979,0.0123,0.00754,0.00702
s7_15_24,7,15,24,H1,0.52305,0.2826,0.21646,0.1096,0.09565,0.08723
s7_15_24,7,15,24,Hattn2,0.91458,0.79798,0.69819,0.51829,0.48634,0.39871
s7_15_24,7,15,24,H2,0.83441,0.9287,0.79612,-0.19509,-0.09242,0.68665
s2_10_34,2,10,34,H0,1.0,0.1976,0.05624,0.00055,-0.00669,-0.00319
s2_10_34,2,10,34,Hattn1,1.0,0.3644,0.11621,0.05748,0.03379,0.00568
s2_10_34,2,10,34,H1,1.0,0.36544,0.18042,0.10697,0.07369,0.08611
s2_10_34,2,10,34,Hattn2,1.0,0.76212,0.54774,0.59112,0.49528,0.34876
s2_10_34,2,10,34,H2,1.0,0.76638,0.92236,-0.40211,0.8623,-0.4523
s15_15_16,15,15,16,H0,0.13063,0.13053,0.1223,-0.00291,-0.00295,-0.00288
s15_15_16,15,15,16,Hattn1,0.24788,0.24873,0.23359,0.00838,0.00825,0.00818
s15_15_16,15,15,16,H1,0.28318,0.28199,0.27244,0.09198,0.09176,0.09066
s15_15_16,15,15,16,Hattn2,0.76481,0.76156,0.75552,0.33074,0.31932,0.32307
s15_15_16,15,15,16,H2,0.80134,0.8033,0.78422,0.15478,0.16651,0.16936
