cell,s1,s2,s3,stage,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
s1_22_23,1,22,23,H0,0.0,nan,0.17911,0.17095,0.90909,0.91304,0.99747,0.10672
s1_22_23,1,22,23,Hattn1,0.0,nan,0.3729,0.3582,0.78338,0.79416,0.97196,0.2112
s1_22_23,1,22,23,H1,0.0,nan,0.9904,0.99,0.19318,0.18614,0.01337,0.98105
s1_22_23,1,22,23,Hattn2,0.0,nan,1.0,1.0,0.0,0.0,0.0,1.0
s1_22_23,1,22,23,H2,0.0,nan,1.0,1.0,1.0,1.0,0.0,0.95747
s4_15_27,4,15,27,H0,0.0,0.90104,0.25982,0.14614,0.97448,0.98712,0.99718,0.10496
s4_15_27,4,15,27,Hattn1,0.0,1.0,0.53839,0.3056,0.8,0.88889,0.96339,0.21893
s4_15_27,4,15,27,H1,0.0,1.0,0.99464,0.99225,0.20339,0.24031,0.01265,0.95599
s4_15_27,4,15,27,Hattn2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s4_15_27,4,15,27,H2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.84121
s7_15_24,7,15,24,H0,0.0,0.53869,0.25967,0.16423,0.98914,0.99247,0.99701,0.10434
s7_15_24,7,15,24,Hattn1,0.0,1.0,0.53735,0.34239,0.86458,0.91341,0.96029,0.22494
s7_15_24,7,15,24,H1,0.0,1.0,0.99196,0.98936,0.01503,0.02121,0.01545,0.98631
s7_15_24,7,15,24,Hattn2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s7_15_24,7,15,24,H2,0.0,1.0,1.0,1.0,0.99866,0.92281,0.0,0.75436
s2_10_34,2,10,34,H0,0.0,1.0,0.38264,0.11637,0.95937,0.98438,0.9966,0.10353
s2_10_34,2,10,34,Hattn1,0.0,1.0,0.81493,0.24393,0.60781,0.88143,0.95813,0.21518
s2_10_34,2,10,34,H1,0.0,1.0,1.0,0.9929,0.02813,0.05101,0.02027,0.98591
s2_10_34,2,10,34,Hattn2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s2_10_34,2,10,34,H2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.65974
s15_15_16,15,15,16,H0,0.0,0.26071,0.26101,0.24362,0.99333,0.99499,0.99434,0.10499
s15_15_16,15,15,16,Hattn1,0.0,0.53988,0.53943,0.50508,0.93486,0.94095,0.93952,0.22711
s15_15_16,15,15,16,H1,0.0,0.99405,0.98795,0.99089,0.01632,0.01315,0.01764,0.98672
s15_15_16,15,15,16,Hattn2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s15_15_16,15,15,16,H2,0.0,1.0,1.0,1.0,0.2459,0.19759,0.18783,0.86028
