cell,s1,s2,s3,stage,mu_1,mu_2,mu_3,mu_12,mu_13,mu_23
s3_21_22,3,21,22,H0,1.0,0.07446,0.06954,-0.02828,-0.02802,-0.02832
s3_21_22,3,21,22,Hattn1,1.0,0.48204,0.47649,0.40079,0.40139,0.35692
s3_21_22,3,21,22,H1,1.0,0.30236,0.2955,0.17499,0.17489,0.17661
s3_21_22,3,21,22,Hattn2,1.0,0.95684,0.95522,0.95392,0.95391,0.92616
s3_21_22,3,21,22,H2,1.0,0.70507,0.7041,-0.23962,-0.23974,0.5942
s15_15_16,15,15,16,H0,0.11825,0.11859,0.10875,-0.02811,-0.02846,-0.02815
s15_15_16,15,15,16,Hattn1,0.53586,0.53652,0.52363,0.35709,0.35642,0.35681
s15_15_16,15,15,16,H1,0.35642,0.35598,0.3431,0.17696,0.17621,0.17618
s15_15_16,15,15,16,Hattn2,0.74252,0.74245,0.71608,0.37049,0.3678,0.36563
s15_15_16,15,15,16,H2,0.57097,0.56845,0.5395,0.12736,0.12778,0.12691
