cell,s1,s2,s3,stage,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
s3_21_22,3,21,22,H0,0.0,1.0,0.2,0.19048,1.0,1.0,1.0,0.10586
s3_21_22,3,21,22,Hattn1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s3_21_22,3,21,22,H1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s3_21_22,3,21,22,Hattn2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s3_21_22,3,21,22,H2,0.0,1.0,1.0,1.0,0.98214,0.98864,0.0,0.87984
s15_15_16,15,15,16,H0,0.0,0.28571,0.28571,0.26667,1.0,1.0,1.0,0.1087
s15_15_16,15,15,16,Hattn1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s15_15_16,15,15,16,H1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s15_15_16,15,15,16,Hattn2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
s15_15_16,15,15,16,H2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
