s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23
1,1,44,200,0.0,,,1.0,0.0,1.0,1.0
1,2,43,200,0.0,,1.0,1.0,1.0,0.0,0.9505
1,3,42,200,0.0,,1.0,1.0,0.995,0.0,0.0146
1,4,41,200,0.0,,1.0,1.0,0.7188,0.005,0.0297
1,5,40,200,0.0,,1.0,1.0,1.0,0.9595,0.0
1,6,39,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,7,38,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,8,37,200,0.0,,1.0,1.0,1.0,0.9997,0.0
1,9,36,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,10,35,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,11,34,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,12,33,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,13,32,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,14,31,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,15,30,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,16,29,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,17,28,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,18,27,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,19,26,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,20,25,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,21,24,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,22,23,200,0.0,,1.0,1.0,1.0,1.0,0.0
2,2,42,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2,3,41,200,0.0,1.0,1.0,1.0,0.0333,1.0,0.7815
2,4,40,200,0.0,1.0,0.415,1.0,0.5138,0.9998,0.4916
2,5,39,200,0.0,1.0,1.0,1.0,0.88,0.0,0.0
2,6,38,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,7,37,200,0.0,1.0,1.0,1.0,1.0,0.9761,0.0
2,8,36,200,0.0,1.0,1.0,1.0,0.9962,0.9547,0.0
2,9,35,200,0.0,1.0,1.0,1.0,1.0,0.9641,0.0
2,10,34,200,0.0,1.0,1.0,1.0,1.0,0.9984,0.0
2,11,33,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,12,32,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,13,31,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,14,30,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,15,29,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,16,28,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,17,27,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,18,26,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,19,25,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,20,24,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,21,23,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2,22,22,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0
3,3,40,200,0.0,0.995,0.9933,1.0,0.0083,0.8968,0.9243
3,4,39,200,0.0,0.9883,0.3333,1.0,0.6083,0.7202,0.5
3,5,38,200,0.0,0.9633,1.0,1.0,0.3997,0.2663,0.0
3,6,37,200,0.0,1.0,1.0,1.0,1.0,0.974,0.0
3,7,36,200,0.0,1.0,1.0,1.0,0.9974,0.9347,0.0
3,8,35,200,0.0,0.9883,1.0,1.0,0.9579,0.7902,0.0
3,9,34,200,0.0,0.9933,1.0,1.0,0.9857,0.908,0.0
3,10,33,200,0.0,0.9967,1.0,1.0,0.9987,0.9726,0.0
3,11,32,200,0.0,0.9967,1.0,1.0,1.0,0.9967,0.0
