s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23
1,1,44,200,0.0,,,1.0,0.0,0.5641,0.6094
1,2,43,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,3,42,200,0.0,,0.3333,1.0,0.6667,1.0,0.3333
1,4,41,200,0.0,,1.0,1.0,1.0,1.0,0.0004
1,5,40,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,6,39,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,7,38,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,8,37,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,9,36,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,10,35,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,11,34,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,12,33,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,13,32,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,14,31,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,15,30,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,16,29,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,17,28,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,18,27,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,19,26,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,20,25,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,21,24,200,0.0,,1.0,1.0,1.0,1.0,0.0
1,22,23,200,0.0,,1.0,1.0,1.0,1.0,0.0
2,2,42,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2,3,41,200,0.0,1.0,1.0,1.0,0.9917,0.0,1.0
2,4,40,200,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2,5,39,200,0.0,1.0,1.0,1.0,0.999,0.0,1.0
2,6,38,200,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2,7,37,200,0.0,1.0,1.0,1.0,1.0,0.0,1.0
