s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
1,1,44,200,0.0,,,1.0,0.0,1.0,1.0,0.9168
1,2,43,200,0.0,,1.0,1.0,0.255,1.0,0.745,0.8983
1,3,42,200,0.0,,0.3333,1.0,0.6667,1.0,0.3333,0.9168
1,4,41,200,0.0,,0.9708,1.0,0.9838,1.0,0.0163,0.9548
1,5,40,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,6,39,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,7,38,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,8,37,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,9,36,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,10,35,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,11,34,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,12,33,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,13,32,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,14,31,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,15,30,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,16,29,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,17,28,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,18,27,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,19,26,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,20,25,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,21,24,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
1,22,23,200,0.0,,1.0,1.0,1.0,1.0,0.0,0.9575
2,2,42,200,0.0,1.0,1.0,1.0,0.055,0.975,0.97,0.8454
2,3,41,200,0.0,1.0,0.3333,1.0,0.6667,1.0,0.3333,0.8781
2,4,40,200,0.0,1.0,0.6375,1.0,0.7212,0.865,0.2487,0.8895
2,5,39,200,0.0,1.0,0.983,1.0,0.848,0.85,0.01,0.9273
2,6,38,200,0.0,1.0,0.9287,1.0,0.9558,0.995,0.0425,0.9075
2,7,37,200,0.0,1.0,0.9867,1.0,0.9814,0.985,0.0071,0.9161
2,8,36,200,0.0,1.0,0.9907,1.0,0.995,1.0,0.005,0.9153
2,9,35,200,0.0,1.0,1.0,1.0,0.995,0.995,0.0,0.9172
2,10,34,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9168
2,11,33,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9168
2,12,32,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9168
2,13,31,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9168
2,14,30,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9168
