s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
3,3,40,200,0.0,1.0,1.0,1.0,0.0,0.03,0.0225,0.994
3,4,39,200,0.0,1.0,1.0,1.0,0.0,0.0,0.0068,0.999
3,5,38,200,0.0,1.0,1.0,1.0,0.048,0.0,0.2465,0.9551
3,6,37,200,0.0,1.0,1.0,1.0,0.625,0.9932,0.0,0.8852
3,7,36,200,0.0,1.0,1.0,1.0,0.8221,0.9782,0.0,0.8838
3,8,35,200,0.0,1.0,1.0,1.0,0.8819,0.977,0.0,0.883
3,9,34,200,0.0,1.0,1.0,1.0,0.9522,0.9816,0.0,0.8811
3,10,33,200,0.0,1.0,1.0,1.0,0.971,0.9818,0.0,0.8806
3,11,32,200,0.0,1.0,1.0,1.0,0.9859,0.9838,0.0,0.88
3,12,31,200,0.0,1.0,1.0,1.0,0.99,0.9919,0.0,0.8791
3,13,30,200,0.0,1.0,1.0,1.0,0.9896,0.9868,0.0,0.8796
3,14,29,200,0.0,1.0,1.0,1.0,0.9886,0.9852,0.0,0.8797
3,15,28,200,0.0,1.0,1.0,1.0,0.9837,0.988,0.0,0.8797
3,16,27,200,0.0,1.0,1.0,1.0,0.9816,0.9798,0.0,0.8805
3,17,26,200,0.0,1.0,1.0,1.0,0.9841,0.9831,0.0,0.8801
3,18,25,200,0.0,1.0,1.0,1.0,0.9781,0.983,0.0,0.8804
3,19,24,200,0.0,1.0,1.0,1.0,0.9853,0.9833,0.0,0.88
3,20,23,200,0.0,1.0,1.0,1.0,0.9845,0.9793,0.0,0.8803
3,21,22,200,0.0,1.0,1.0,1.0,0.9874,0.988,0.0,0.8796
4,4,38,200,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4,5,37,200,0.0,1.0,1.0,1.0,0.0077,0.0,0.0252,0.9954
4,6,36,200,0.0,1.0,1.0,1.0,0.4715,0.9606,0.0,0.8586
4,7,35,200,0.0,1.0,1.0,1.0,0.7293,0.9404,0.0,0.8563
4,8,34,200,0.0,1.0,1.0,1.0,0.8039,0.9389,0.0,0.855
4,9,33,200,0.0,1.0,1.0,1.0,0.8812,0.9495,0.0,0.8516
4,10,32,200,0.0,1.0,1.0,1.0,0.9253,0.95,0.0,0.8501
4,11,31,200,0.0,1.0,1.0,1.0,0.9428,0.9454,0.0,0.85
4,12,30,200,0.0,1.0,1.0,1.0,0.9247,0.9274,0.0,0.8529
4,13,29,200,0.0,1.0,1.0,1.0,0.9441,0.9421,0.0,0.8503
4,14,28,200,0.0,1.0,1.0,1.0,0.9463,0.9342,0.0,0.851
4,15,27,200,0.0,1.0,1.0,1.0,0.9438,0.9384,0.0,0.8507
4,16,26,200,0.0,1.0,1.0,1.0,0.947,0.9388,0.0,0.8504
4,17,25,200,0.0,1.0,1.0,1.0,0.9454,0.9318,0.0,0.8512
4,18,24,200,0.0,1.0,1.0,1.0,0.9333,0.9344,0.0,0.8517
4,19,23,200,0.0,1.0,1.0,1.0,0.9301,0.9279,0.0,0.8525
4,20,22,200,0.0,1.0,1.0,1.0,0.9457,0.9376,0.0,0.8505
4,21,21,200,0.0,1.0,1.0,1.0,0.9407,0.9345,0.0,0.8511
5,5,36,200,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5,6,35,200,0.0,1.0,1.0,1.0,0.3973,0.9159,0.0,0.8372
5,7,34,200,0.0,1.0,1.0,1.0,0.6869,0.9175,0.0,0.8298
5,8,33,200,0.0,1.0,1.0,1.0,0.7464,0.8997,0.0,0.8315
5,9,32,200,0.0,1.0,1.0,1.0,0.8053,0.8938,0.0,0.8306
5,10,31,200,0.0,1.0,1.0,1.0,0.8767,0.8951,0.0,0.8274
5,11,30,200,0.0,1.0,1.0,1.0,0.8985,0.8742,0.0,0.8293
5,12,29,200,0.0,1.0,1.0,1.0,0.8995,0.901,0.0,0.8255
5,13,28,200,0.0,1.0,1.0,1.0,0.9128,0.9156,0.0,0.8228
5,14,27,200,0.0,1.0,1.0,1.0,0.8871,0.8916,0.0,0.8275
5,15,26,200,0.0,1.0,1.0,1.0,0.8943,0.8842,0.0,0.828
5,16,25,200,0.0,1.0,1.0,1.0,0.8939,0.8928,0.0,0.8269
5,17,24,200,0.0,1.0,1.0,1.0,0.9041,0.8958,0.0,0.8258
5,18,23,200,0.0,1.0,1.0,1.0,0.9108,0.9112,0.0,0.8235
5,19,22,200,0.0,1.0,1.0,1.0,0.9168,0.9121,0.0,0.8228
5,20,21,200,0.0,1.0,1.0,1.0,0.9188,0.895,0.0,0.8243
6,6,34,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6144
6,7,33,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5945
6,8,32,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5766
6,9,31,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5605
6,10,30,200,0.0,1.0,1.0,1.0,0.0863,1.0,0.9997,0.5415
6,11,29,200,0.1,1.0,1.0,1.0,0.9767,1.0,0.8901,0.5062
6,12,28,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,13,27,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,14,26,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,15,25,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,16,24,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,17,23,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,18,22,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,19,21,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
6,20,20,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7732
7,7,32,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5766
7,8,31,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5605
7,9,30,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5463
7,10,29,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.534
7,11,28,200,0.0,1.0,1.0,1.0,0.0032,1.0,1.0,0.5234
7,12,27,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
7,13,26,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
7,14,25,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
7,15,24,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
7,16,23,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
7,17,22,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
7,18,21,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
7,19,20,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.742
8,8,30,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5463
8,9,29,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.534
8,10,28,200,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5236
8,11,27,200,0.0,1.0,1.0,1.0,0.0017,1.0,1.0,0.515
8,12,26,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7127
8,13,25,200,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7127
